"tree_ID";"year";"dbh_cm";"BAI_growth";"density_plot";"pollen_index";"cone_count";"resources_NPP_castanea"
117;1999;24.016480912567;NA;250;NA;NA;12745.374036948
117;2000;24.9714105711184;36.740918612764;250;NA;NA;12851.0038234901
117;2001;25.6239458377952;25.9301201595682;250;NA;NA;10241.6429276489
117;2002;26.3719740703271;30.5476029460219;250;0;79;14147.4186520603
117;2003;27.2154952687141;35.5016984371146;250;0;11;7179.06829091052
117;2004;28.3295798703574;48.6019407466877;250;0;66;15761.6360816691
117;2005;29.2526785402904;41.7471373477194;250;0;50;11815.9646358321
117;2006;30.0166222671315;35.5615804844533;250;NA;NA;10291.0584845624
135;1999;29.9529602898947;NA;250;NA;NA;15787.8755558141
135;2000;31.1307068687747;56.5023921217693;250;NA;NA;15837.4853311974
135;2001;32.0538055387077;45.8087714954247;250;NA;NA;12467.7397798844
135;2002;32.8018337712396;38.102688094594;250;0;170;17093.4733355103
135;2003;33.9000028785737;57.5303341104642;250;0;30;8084.13705014442
135;2004;34.8231015485067;49.8242507096331;250;0;90;18914.2369242683
135;2005;35.4597213208743;35.1414114346904;250;0;195;15090.9447842288
135;2006;36.2554960363338;44.8220108482553;250;NA;NA;13196.8272150042
158;1999;26.6584529678925;NA;250;NA;NA;13205.2015908757
158;2000;28.0112699841736;58.0865806365701;250;NA;NA;13304.063690999
158;2001;28.9821151370341;43.4574561549209;250;NA;NA;10587.9103311809
158;2002;29.6664813923293;31.5236206345329;250;4;0;14612.8498660973
158;2003;30.6214110508807;45.2159193324075;250;4;2;7352.68771714284
158;2004;31.6400026866688;49.8091309900395;250;4;3;16243.2653373398
158;2005;32.5631013566018;46.5472504313715;250;3;14;12292.3872358125
158;2006;33.3588760720613;41.2012358929142;250;NA;NA;10689.9788078482
167;1999;21.4700018230967;NA;250;NA;NA;9454.35676683075
167;2000;22.4408469759572;33.4820222092786;250;NA;NA;9530.27632980363
167;2001;23.2366216914167;28.5484179171089;250;NA;NA;7775.29802445225
167;2002;23.8891569580935;24.1519615578738;250;4;0;10625.6297443708
167;2003;24.7326781564805;32.2119657634054;250;4;0;5560.29080529747
167;2004;25.6876078150319;37.8152144786342;250;4;0;11976.1070981284
167;2005;26.4833825304914;32.606868965952;250;4;3;8469.19603904114
167;2006;27.2473262573325;32.2384252726944;250;NA;NA;7562.44745695183
170;1999;23.3161991629627;NA;250;NA;NA;9656.59015847491
170;2000;24.271128821514;35.6904959883574;250;NA;NA;9728.07950747251
170;2001;25.1464810085195;33.9746067581482;250;NA;NA;7917.08455123573
170;2002;25.8945092410514;29.9865817716228;250;0;39;10846.802341594
170;2003;26.9290163711487;42.9191145599125;250;3;11;5666.74738862257
170;2004;28.0112699841736;46.6992434020239;250;3;17;12212.6442466926
170;2005;28.8388756882514;36.9525946870765;250;2;46;8650.92236283569
170;2006;29.6664813923293;38.0284821023773;250;NA;NA;7720.04251973221
174;1999;23.5708470719097;NA;250;NA;NA;11165.5181569789
174;2000;24.5416922247703;36.6858112137186;250;NA;NA;11265.3540396249
174;2001;25.3374669402297;31.1744744781249;250;NA;NA;9040.34638306247
174;2002;26.0218331955249;27.605623822968;250;0;16;12498.5147999517
174;2003;27.0563403256222;43.1260159859322;250;0;0;6452.31174088282
174;2004;27.9476080069368;38.5027638327912;250;0;6;13999.7423002222
174;2005;28.8707066768698;41.1932781457599;250;0;46;10172.8010403677
174;2006;29.5073264492374;29.1890165630534;250;NA;NA;8959.14877416737
188;1999;22.6795793905951;NA;250;NA;NA;11353.4461989008
188;2000;23.5390160832913;31.1975519448733;250;NA;NA;11457.5406558925
188;2001;24.2233823385865;25.6722891517593;250;NA;NA;9178.94258233879
188;2002;24.8122556280265;22.6789825595584;250;4;0;12696.755861694
188;2003;25.7512697922687;37.2905999974676;250;4;0;6546.3381989431
188;2004;26.70619945082;39.3431019323166;250;4;1;14211.1426244206
188;2005;27.5974671321347;38.0125666080684;250;4;4;10365.626148226
188;2006;28.4569038248309;37.8367003959515;250;NA;NA;9115.82485194182
213;1999;23.4435231174362;NA;250;NA;NA;11671.7298916662
213;2000;24.4939457418427;39.5484118089051;250;NA;NA;11776.1914475677
213;2001;25.3852134231573;34.9154114155;250;NA;NA;9414.73236264794
213;2002;26.0377486898341;26.3542680829083;250;4;27;13033.7701249779
213;2003;26.8971853825303;35.7310804988458;250;4;3;6693.19661420113
