AHOL,ANTSOL,APLCAL,ATHE,BARNAC,BFRE,BRANCH,BROWN,BRYO,BUSHY,CAGG,CENCOR,COMTUN,CPUN,CRAGIG,CRUCOR,CYPSPA,CYSOSM,CYSOSMAD,DICTYOTALES,DIOCHA,EISARBAD,EJAC,EMOR,ENCRED,ERECOR,GNIG,HROS,HRUB,HSEM,KELKEL,KGB,LACY,LAMFAR,LAMSPP,LOPCHI,LYTANAAD,MACPYR_HF,MACPYRAD,MCAL,MEGCRE,MEGSPP,MEGUND,OCAL,OPIC,OYT,PACFIM,PANINT,PARPAR,PATMIN,PCLA,PISGIG,PTECALAD,RVAC,SATR,SJAP,SMYS,SPONGE,SPUL,SSAG,STRFRAAD,STRPURAD,TETAUR,TSYM,TUBEWORM,TURF
0,0,0,0,0,0,0,3,4,0,0,0,0,18,5,32,0,0,12,0,0,82,0,0,0,30,3,1,1,3,6,9,0,0,32,0,0,4,22,1,0,77,0,1,0,72,0,2,0,0,2,0,0,0,0,0,1,1,0,0,189,55,0,0,0,0
0,0,0,0,0,0,0,3,1,0,0,0,0,11,0,61,0,0,0,0,0,0,2,0,0,4,19,0,3,7,0,17,0,0,23,0,0,0,24,0,0,128,0,19,0,27,0,0,0,0,3,0,0,0,0,0,0,0,1,0,143,1,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,29,0,0,20,0,0,0,2,0,0,14,4,0,0,4,0,0,0,0,28,0,0,2,86,0,0,19,0,14,0,31,0,0,0,1,3,0,0,0,0,0,0,0,6,0,59,1,0,0,0,0
0,0,0,0,0,0,3,8,10,0,0,0,0,240,2,9,0,0,0,0,0,64,1,0,0,3,17,0,2,3,0,0,0,0,0,0,0,1,34,3,0,1,0,4,0,11,0,1,0,0,4,0,0,0,0,0,4,19,0,0,86,36,0,0,0,0
0,0,3,0,0,0,7,3,14,0,0,0,0,44,66,9,0,0,0,0,0,107,0,0,0,11,6,0,2,2,0,0,0,0,4,0,0,0,40,0,0,1,0,5,0,1,0,1,0,0,4,0,0,0,0,0,0,0,2,0,96,15,0,0,0,0
0,0,0,0,1,0,0,7,5,0,0,0,0,0,0,7,0,0,47,0,1,3,0,0,0,3,2,0,0,2,0,0,0,0,111,0,0,3,28,0,0,0,0,31,0,0,0,0,0,0,3,0,52,1,0,0,0,0,3,0,32,15,0,0,0,0
0,0,1,2,0,0,1,2,5,0,0,0,0,3,1,68,4,0,1,0,1,3,1,0,0,21,3,0,8,4,0,0,0,0,0,0,0,0,29,4,0,446,0,7,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,300,248,0,0,38,0
0,0,2,0,0,0,0,5,4,0,0,0,0,133,0,60,1,0,25,0,0,0,1,0,0,29,38,0,26,7,0,0,0,0,8,0,0,0,125,1,0,246,0,3,0,5,0,1,0,0,7,0,0,0,0,0,1,0,6,0,289,44,0,0,0,0
3,3,0,0,1,4,13,5,2,0,0,0,3,0,63,2,1,0,0,0,1,124,20,0,0,26,2,2,4,4,2,0,0,0,73,0,0,2,48,2,1,0,33,4,0,0,0,4,33,0,3,0,0,3,0,0,0,3,2,0,41,22,3,0,12,0
6,0,1,0,0,44,0,8,9,0,0,6,5,595,20,12,0,1,3,0,2,14,15,0,0,17,126,2,14,8,4,0,0,0,385,0,0,9,59,58,1,0,62,1344,0,1,0,0,58,0,32,0,11,1,0,0,1,2,4,0,28,19,0,0,1,0
0,0,0,0,0,9,24,1,0,0,0,0,0,731,33,0,0,0,0,0,0,139,17,0,0,18,14,2,9,4,0,0,0,0,2,0,0,0,30,0,1,0,6,214,2,1,0,3,3,0,10,0,0,1,0,0,0,0,6,0,32,7,0,0,0,0
4,0,0,0,4,6,0,8,5,0,0,14,0,354,4,19,0,4,0,1,1,5,6,0,0,13,30,5,6,6,0,2,0,0,214,0,0,1,71,2,2,0,37,94,0,3,2,5,48,0,50,2,9,1,0,0,1,0,17,0,29,7,0,0,1,0
8,14,0,0,0,1,1,7,9,0,0,0,0,194,21,13,1,2,0,0,1,21,7,0,0,34,1,0,6,7,5,0,0,0,94,0,0,4,79,0,1,0,123,0,1,0,0,0,26,0,10,0,0,0,0,0,6,0,4,0,21,32,1,0,6,0
15,1,1,0,3,15,0,5,7,0,0,1,0,38,4,23,6,18,8,0,9,0,6,0,0,26,3,1,8,4,2,0,0,0,34,0,0,2,31,0,0,0,253,4,2,0,5,1,28,0,20,0,0,0,3,0,0,0,4,0,60,37,0,0,1,0
7,0,0,0,1,32,2,2,4,0,0,0,1,97,4,18,0,0,13,0,0,5,1,0,1,3,6,3,5,4,0,5,1,0,7,0,0,0,21,0,2,0,47,32,0,0,0,12,94,0,8,1,0,0,3,0,1,0,2,0,416,131,0,0,12,0
11,0,0,0,7,136,3,3,14,0,0,0,2,152,7,15,2,1,11,1,0,11,10,0,18,41,0,6,13,10,3,7,1,0,112,0,0,0,19,0,0,0,196,8,2,1,0,0,92,0,25,3,0,0,1,0,0,0,11,0,37,21,0,0,5,0
10,0,0,0,6,76,0,1,21,0,0,0,1,134,1,26,0,0,30,1,1,5,10,0,14,6,8,1,11,9,2,0,0,0,125,0,0,3,26,8,0,0,137,11,2,1,10,0,187,3,21,1,2,0,0,0,0,0,4,0,25,8,1,0,9,3
7,0,1,0,1,22,0,5,2,1,0,0,0,191,2,19,4,0,2,0,1,0,8,0,1,7,14,3,4,7,0,0,1,0,0,0,0,0,0,1,0,0,94,10,0,1,2,1,7,0,10,0,0,0,0,0,1,0,7,0,55,23,0,0,1,0
5,0,1,0,0,3,0,2,6,1,0,0,3,118,0,12,2,0,6,2,0,0,4,0,4,9,0,4,4,3,1,3,0,0,3,0,0,0,6,5,0,0,85,3,2,3,1,0,24,1,16,2,0,0,1,0,0,0,5,0,49,38,0,0,6,0
1,6,0,17,0,13,9,15,13,21,0,0,1,5,35,7,11,3,33,2,0,143,0,0,4,17,2,0,0,0,0,0,1,131,0,0,0,2,53,4,0,0,32,3,2,0,0,7,10,0,0,4,4,0,0,0,0,1,0,0,11,50,0,0,1,1
9,0,0,0,0,13,2,1,17,1,0,0,4,81,17,16,4,2,45,0,3,33,6,0,5,18,8,0,6,8,8,0,4,417,0,0,0,4,25,11,0,0,230,31,0,0,0,5,108,0,62,0,50,1,4,0,0,1,12,0,29,17,0,0,1,0
