AHOL,ANTSOL,APLCAL,ATHE,BARNAC,BFRE,BRANCH,BROWN,BRYO,BUSHY,CAGG,CENCOR,COMTUN,CPUN,CRAGIG,CRUCOR,CYPSPA,CYSOSM,CYSOSMAD,DICTYOTALES,DIOCHA,EISARBAD,EJAC,EMOR,ENCRED,ERECOR,GNIG,HROS,HRUB,HSEM,KELKEL,KGB,LACY,LAMFAR,LAMSPP,LOPCHI,LYTANAAD,MACPYR_HF,MACPYRAD,MCAL,MEGCRE,MEGSPP,MEGUND,OCAL,OPIC,OYT,PACFIM,PANINT,PARPAR,PATMIN,PCLA,PISGIG,PTECALAD,RVAC,SATR,SJAP,SMYS,SPONGE,SPUL,SSAG,STRFRAAD,STRPURAD,TETAUR,TSYM,TUBEWORM,TURF
12,12,12,12,10,12,10,10,10,10,12,12,10,12,12,10,12,10,12,10,10,12,12,12,10,10,12,12,12,12,12,12,10,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,10,10
10,7,7,10,6,10,6,6,6,6,10,7,6,10,7,6,7,6,7,6,6,7,10,10,6,6,10,10,10,10,7,10,6,7,7,7,7,6,7,10,7,7,7,10,10,10,7,7,7,7,10,7,7,10,10,10,10,6,10,10,7,7,7,10,6,6
9,8,8,9,4,9,4,4,4,4,9,8,4,9,8,4,8,4,8,4,4,8,9,9,4,4,9,9,9,9,8,9,4,8,8,8,8,4,8,9,8,8,8,9,9,9,8,8,8,8,9,8,8,9,9,9,9,4,9,9,8,8,8,9,4,4
10,8,8,10,13,10,13,13,13,13,10,8,13,10,8,13,8,13,8,13,13,8,10,10,13,13,10,10,10,10,8,10,13,8,8,8,8,13,8,10,8,8,8,10,10,10,8,8,8,8,10,8,8,10,10,10,10,13,10,10,8,8,8,10,13,13
9,10,10,9,11,9,11,11,11,11,9,10,11,9,10,11,10,11,10,11,11,10,9,9,11,11,9,9,9,9,10,9,11,10,10,10,10,11,10,9,10,10,10,9,9,9,10,10,10,10,9,10,10,9,9,9,9,11,9,9,10,10,10,9,11,11
6,7,7,6,8,6,8,8,8,8,6,7,8,6,7,8,7,8,7,8,8,7,6,6,8,8,6,6,6,6,7,6,8,7,7,7,7,8,7,6,7,7,7,6,6,6,7,7,7,7,6,7,7,6,6,6,6,8,6,6,7,7,7,6,8,8
16,17,17,16,16,16,16,16,16,16,16,17,16,16,17,16,17,16,17,16,16,17,16,16,16,16,16,16,16,16,17,16,16,17,17,17,17,16,17,16,17,17,17,16,16,16,17,17,17,17,16,17,17,16,16,16,16,16,16,16,17,17,17,16,16,16
21,15,15,21,14,21,14,14,14,14,21,15,14,21,15,14,15,14,15,14,14,15,21,21,14,14,21,21,21,21,15,21,14,15,15,15,15,14,15,21,15,15,15,21,21,21,15,15,15,15,21,15,15,21,21,21,21,14,21,21,15,15,15,21,14,14
35,18,18,11,22,11,22,22,22,22,11,42,22,11,18,22,42,22,42,22,46,18,11,11,22,22,11,35,11,11,42,11,22,18,18,18,42,22,18,11,18,18,18,11,35,11,42,18,18,18,11,18,18,11,11,11,11,22,11,11,42,42,18,11,22,22
60,15,15,38,22,38,22,22,22,22,38,37,22,38,15,22,37,22,37,22,44,15,38,38,22,22,38,60,38,38,37,38,22,15,15,15,37,22,15,38,15,15,15,38,60,38,37,15,15,15,38,15,15,38,38,38,38,22,38,38,37,37,15,38,22,22
